非洲	Africa
Si-li-â	Siria
Kâ	Gallio (elemento chimico)
Thap-kit-khiet-sṳ̂-thán	Tagikistan
中華民國	Taiwan
YouTube	YouTube
Châ	Germanio
Thai-koet	Thailandia
Sṳ̂n	Arsenico
Thú-khû-man-sṳ̂-thán	Turkmenistan
Abakan	Abakan (città)
Sî	Selenio
Yî	Iridio
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Emirati Arabi Uniti
Tshiù (溴)	Bromo
Pha̍k (鉑)	Platino
Ye̍t-nàm	Vietnam
Thai-hòn Mìn-koet	Corea del Sud
Khiet	Kripton
Â-fu-hon	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Lù	Rubidio
Kîm	Oro
Men-kâ-lâ-koet	Bangladesh
Ufa	Ufa (Russia)
Ôn-kô-lâ	Angola
Vùn-lòi	Brunei
Kúng	Mercurio (elemento chimico)
Fî-li̍t-pîn	Filippine
Thò	Tallio
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Stronzio
Yet	Ittrio
Pit	Bismuto
Vòng-set	Giallo
Tsan-pí-â	Zambia
Sîn-pâ-pu-vî	Zimbabwe
北京	Pechino
Tuva Khiung-fò-koet	Tuva
Pok-tshṳ-ngá-na̍p	Botswana
Pho (釙)	Polonio
Bayern	Baviera
Baden-Württemberg	Baden-Württemberg
Ngo (砈)	Astato
Lòi-sò-thok	Lesotho
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagascar
Mâ-là-vî	Malawi
Stuttgart	Stoccarda
Màu-li-thap-nì-â	Mauritania
Pô-làn-ngìn	Polacchi
Mo̍k-sông-pí-khiet	Mozambico
Na̍p-mí-pí-â	Namibia
Nai-khi̍p-li-â	Nigeria
Ko	Zirconio
Nì	Niobio
Yû-li-vû-sṳ̂ Khái-sat	Gaio Giulio Cesare
Sṳ̂-vî-sṳ-làn	Swaziland
Muk	Molibdeno
Thap	Tecnezio
Hamburg	Amburgo
Thoi-chhia	Metabolismo
Miên-yi̍t Hì-thúng	Sistema immunitario
Lièn-ha̍p-koet	Organizzazione delle Nazioni Unite
Sîm-chhong	Cuore umano
Thèu-nó	Cervello
Phì-fû	Pelle
Ló	Rodio
Làm-set	Blu
Pâ	Palladio (elemento chimico)
Ngiùn	Argento
Kak	Cadmio
Yîn	Indio
Siak	Stagno (elemento chimico)
Yu	Uranio
Thi (銻)	Antimonio
Ti	Tellurio
Pu	Plutonio
Tièn	Iodio
Nai	Nettunio
Set	Cesio (elemento chimico)
Phù	Protoattinio
Pi	Bario
Thú	Torio
Kap (鉿)	Afnio
Than (鉭)	Tantalio
Luì	Radio (elemento chimico)
Tûng	Radon
Alsace	Alsazia
Auvergne	Alvernia
Ôn-tet-là-pâng	Andhra Pradesh
Me̍t-hiet-kîn	Michigan
Burgundy	Borgogna
Aquitaine	Aquitania
Schleswig-Holstein	Schleswig-Holstein
Hâ Saxony	Bassa Sassonia
Pet Rhine-Westphalia	Renania Settentrionale-Vestfalia
Saxony	Sassonia
Yî-li-nò	Illinois
Thuringia	Turingia
Saxony-Anhalt	Sassonia-Anhalt
Pet Tha̍t-khô-thâ	Dakota del Nord
Brandenburg	Brandeburgo
Bremen-chû	Brema (stato)
Nàm Tha̍t-khô-thâ	Dakota del Sud
Mùng-thai-nâ	Montana
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Gerusalemme
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington (stato)
Lù (鑪)	Rutherfordio
Nui-fà-tha̍t	Nevada
Hàn (𨧀)	Dubnio
Hí (𨭎)	Seaborgio
Yin-thu-yòng	Oceano Indiano
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Mare Caraibico
Pô (𨨏)	Bohrio
Het (𨭆)	Hassio
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnerio
Khô-lò-là-tô	Colorado
Tha̍t	Darmstadtio
Siau-pâng	Fryderyk Chopin
Lùn	Roentgenio
Kô (鎶)	Copernicio
分類:Chú-yeu fûn-lui	Categoria:Categorie
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Inverno
Sî-pân-ngà-ngî	Lingua spagnola
Fî-là-thiet-fî	Filadelfia (Stati Uniti d'America)
Tî-tû	Araneae
Kîm-tshièn	Denaro
Vì-kit-nì-â	Virginia
Sî Vì-kit-nì-â	Virginia Occidentale
Tshiâng-tséu	Capsicum annuum
Néu-yok-chû	New York (Stato)
Sṳ (鈰)	Cerio
