आफ्रिकाखण्डः	Africa
गतिविज्ञानम्	Dinamica (fisica)
ट्रिनिडाड	Trinidad (isola)
इन्द्रः	Indra
पुनर्जन्म	Reincarnazione
माइकल ओवेन	Michael Owen
पॉल पोग्बा	Paul Pogba
मिथुनराशिः	Gemelli (astrologia)
अन्नगन्धिः	Dissenteria
जाह्न (इंगलैंड)	Giovanni d'Inghilterra
ऊरुः	Coscia
भारतस्य प्रथमस्वातन्त्र्यसङ्ग्रामः	Moti indiani del 1857
विलियम ३ (इंगलैंड)	Guglielmo III d'Inghilterra
जार्ज ४	Giorgio IV del Regno Unito
जार्ज १	Giorgio I di Gran Bretagna
मेरी २	Maria II d'Inghilterra
विलियम ४	Guglielmo IV del Regno Unito
रोबर्ट ए मिल्लिकन्	Robert Millikan
वायुमालिन्यम्	Inquinamento atmosferico
ली क्वान यु	Lee Kuan Yew
वर्तुलकम्	Vicia faba
मेरी १ (स्काटलैंड)	Maria Stuarda
लक्ष्मीः	Lakshmi
मन्त्रः	Mantra
भारतस्य राज्यानि	Stati federati e territori dell'India
हेनरी ५	Enrico V d'Inghilterra
विलियम लारेन्स ब्राग	William Lawrence Bragg
क्यावेण्डिष् हेन्रि	Henry Cavendish
औपसर्गिकव्याधिः	Malattia infettiva
जार्ज २	Giorgio II di Gran Bretagna
काली	Kālī
सानिया मिर्ज़ा	Sania Mirza
भारतीयपर्वाणि	Festival (antropologia)
आयुर्वेदः	Ayurveda
अमर्त्य सेन	Amartya Sen
जीरकम्	Cuminum cyminum
यमुनानदी	Yamuna (fiume)
रिचर्ड ३	Riccardo III d'Inghilterra
पादः	Zampa
भारतस्य इतिहासः	Storia dell'India
मेथिका	Trigonella foenum-graecum
लेव लाण्डौ	Lev Davidovič Landau
पृष्ठभागः	Schiena
विलियम हेन्री ब्राग	William Henry Bragg
जार्ज पेजेट थामसन	George Paget Thomson
आकस्मिक चिकित्सा	Primo soccorso
कन्याराशिः	Vergine (astrologia)
जां बाप्टिस्टे पेरिन	Jean Baptiste Perrin
पोलोक्रीडा	Polo (sport)
धर्मः	Dharma
तुलाराशिः	Bilancia (astrologia)
वृश्चिकराशिः	Scorpione (astrologia)
भौतिकी तुला	Bilancia (strumento)
जेम्स ५	Giacomo V di Scozia
जेम्स ४	Giacomo IV di Scozia
प्रिन्‍सटन	Princeton
पाणिपत्	Panipat
ग्रहणम्	Eclissi
जाकिर हुसैन	Zakir Hussain
राजशिम्बी	Baccello
नूतन	Nutan
अजय देवगन	Ajay Devgn
कन्दशाकम्	Brassica oleracea gongylodes
बहुनेत्रफलम्	Ananas
सिद्धपेयम्	Bibita
सुब्रह्मण्यन् चन्द्रशेखरः	Subrahmanyan Chandrasekhar
रजनीशः	Osho Rajneesh
लज्जालुसस्यम्	Mimosa pudica
कबड्डिक्रीडा	Kabaddi
गुरु दत्त	Guru Dutt
नागरङ्गफलम्	Citrus medica
डेविड दे हेया	David de Gea Quintana
जार्ज् कार्लिन्	George Carlin
चोळवंशः	Chola
वायुपुराणम्	Vāyu Purāṇa
चर्मकारः	Calzolaio
एडवार्ड् वी एप्पलटन्	Edward Victor Appleton
भ्रष्टतण्डुलः	Riso soffiato
कोला	Kola (città)
नार्मन् बोर्लाग्	Norman Borlaug
इगोर वाइ टाम	Igor' Evgen'evič Tamm
राबर्ट् ब्रौन्	Robert Brown (botanico)
जोसेफ् लिस्टर्	Joseph Lister
मासातोशी कोशिबा	Masatoshi Koshiba
हिदेकी युकावा	Hideki Yukawa
लुइ नील	Louis Néel
डेनिस गाबोर	Dennis Gabor
यूजीन विग्नर	Eugene Wigner
हान्स बेथे	Hans Bethe
एरण्डसस्यम्	Ricinus communis
आजाद हिन्द फौज्	Azad Hind Fauj
काकमाची	Atropa belladonna
तक्षशिलाविश्वविद्यालयः	Taxila
जे. बि. एस्. हाल्डेन्	John Burdon Sanderson Haldane
वास्तुकम्	Amaranthus
लता मङ्गेशकरः	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन्	Sarvepalli Radhakrishnan
काफीसस्यम्	Coffea
लकुचम्	Moraceae
पूगवृक्षः	Areca catechu
साम्युयेल् हानिमन्	Samuel Hahnemann
वामनी	Acorus calamus
भेडाघाट्	Bhedaghat
ग्वालियर	Gwalior
जूही चावला	Juhi Chawla
दीपिका पडुकोणे	Deepika Padukone
जपापुष्पम्	Hibiscus rosa-sinensis
सिंहराशिः	Leone (astrologia)
ह्यूगो द व्रीस्	Hugo de Vries
रामः	Rama
हेनरी ६	Enrico VI d'Inghilterra
एडवर्ड ४	Edoardo IV d'Inghilterra
थियोफ्रास्टस्	Teofrasto
पारसीकयवानी	Hyoscyamus niger
प्रियङ्गुः	Setaria italica
कर्कटराशिः	Cancro (astrologia)
आम्रम्	Mangifera
एडवार्ड गिबन	Edward Gibbon
हेनरी ४	Enrico IV d'Inghilterra
कुम्भराशिः	Aquario (astrologia)
महानिम्बिसस्यम्	Melia azedarach
स्पन्दमापिनी	Stetofonendoscopio
जेन	Jane Grey
प्रयागः	Allahabad
ओन्कोलोजी	Oncologia
सी टी आर विल्सन	Charles Thomson Rees Wilson
सोनिया गान्धी	Sonia Gandhi
विलियम शाक्ली	William Bradford Shockley
निमेन्या विडिच	Nemanja Vidić
द डार्क् नैट्	Il cavaliere oscuro
वृषभराशिः	Toro (astrologia)
मकरराशिः	Capricorno (astrologia)
आल्बर्ट् स्याबिन्	Albert Bruce Sabin
साङ्ख्यदर्शनम्	Sāṃkhya
हरितगृहम्	Serra
चित्रदुर्गमण्डलम्	Distretto di Chitradurga
मधुरकूष्माण्डम्	Zucca
उन्नतकूर्दनम्	Salto in alto
स्टार् वार्स्:दि फ़ांटम् मेनस्	Star Wars: Episodio I - La minaccia fantasma
परावर्तनम् (भौतविज्ञानम्)	Riflessione (fisica)
इसिडोर ऐजक रबि	Isidor Isaac Rabi
बैटमेन बिगिंस्	Batman Begins
मध्यमा	Dito medio
विजयनगरसाम्राज्यम्	Impero di Vijayanagara
तिरुवनन्तपुरम्	Thiruvananthapuram
गुल्फः	Caviglia
कार्ल् डी एन्डरसन्	Carl David Anderson
धूमनीहारः	Smog
दार्जिलिङ्ग	Darjeeling
श्रीनगरम्	Srinagar
डिमीटार बरबाटोव	Dimităr Berbatov
आण्ड्रियेस् वेसेलियस्	Andrea Vesalio
ओलम्पिक् ज्वाला	Fiamma olimpica
अगर्तला	Agartala
निम्बः	Azadirachta indica
एडवर्ड ५	Edoardo V d'Inghilterra
पार्वती	Parvati
प्रलम्बकूर्दनम्	Salto in lungo
जानुवातः सन्धिवातश्च	Artrite
रोबर्ट वूड्रो विल्सन	Robert Woodrow Wilson
मृदुकन्दुक-क्रीडा	Softball
बाणभट्टः	Bāṇabhaṭṭa
शतद्रुनदी	Sutlej
भुवनेश्वरम्	Bhubaneswar
रक्तदुर्गम् (आग्रा)	Forte rosso di Agra
भारतस्य राष्ट्रियचिह्नम्	Emblema dell'India
जार्ज् क्युव्ये	Georges Cuvier
पर्सी ब्रिजमन	Percy Williams Bridgman
स्टीवन चू	Steven Chu
कटनी	Murwara
डैरेन फ्लेचर	Darren Fletcher
मरे गेलमन	Murray Gell-Mann
प्योट्र कापिट्सा	Pëtr Leonidovič Kapica
एमिलियो गीनो सेग्रे	Emilio Segrè
कनीनिका	Pupilla
मनोरञ्जनं	Intrattenimento
प्रेमचन्दः	Munshi Premchand
हिब्रूविश्वविद्यालयः (येरुशलम्)	Università Ebraica di Gerusalemme
अंटोनियो वालेंसिया	Luis Antonio Valencia
पार्ष्णिः	Tallone (anatomia)
रेमन्ड डेविस जुनियर	Raymond Davis Jr.
थामस् हण्ट् मार्गन्	Thomas Hunt Morgan
गाब्रियोलो फालोपियस्	Gabriele Falloppio
सेसिल पावेल	Cecil Frank Powell
लुइ अल्वारेज़	Luis Álvarez
अन्ताराष्ट्रियः व्यापारः	Commercio internazionale
खजुराहो	Khajuraho
खण्डकाव्यानि	Ode
फतेह्-पुर्-सिक्री	Fatehpur Sikri
डा. जयन्त नारळीकर	Jayant Vishnu Narlikar
जिद्दु कृष्णमूर्ति	Jiddu Krishnamurti
स्टीवन वैनबर्ग	Steven Weinberg
जोर्ज एफ स्मूट	George Fitzgerald Smoot
लीयो एसाकी	Leo Esaki
वर्गिस् कुरियन्	Verghese Kurien
सुवर्णमन्दिरम्	Tempio d'Oro
आदिशङ्कराचार्यः	Adi Shankara
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Star Wars: Episodio II - L'attacco dei cloni
साञ्चीस्तूपः	Sanchi
ब्रायन जोसेफसन	Brian Josephson
चेन निंग यांग	Chen Ning Yang
महाथिर मोहमद	Mahathir Mohamad
तन्त्रशास्त्रम्	Tantra
कर्पूरम्	Canfora
अगस्टा, जार्जिया	Augusta (Georgia)
प्लास्टिक शल्यचिकित्सा	Chirurgia plastica
अलङ्काराः	Figura retorica
आडुबान् जान् जेम्स्	John James Audubon
रेखिचिकित्सा	Reiki
श्रीरामकृष्णपरमहंसः	Ramakrishna
जलमालिन्यम्	Inquinamento idrico
हंस:	Anser (zoologia)
मोक्षः	Mokṣa
ॐ	Oṃ
थामस् हेन्रि हक्स्लि	Thomas Henry Huxley
अजन्तागुहाः	Grotte di Ajanta
पेट्रिक एम एस ब्लाकेट	Patrick Maynard Stuart Blackett
सिन-इतिरो तोमोनागा	Shin'ichirō Tomonaga
चार्ल्स् एच् टाउन्स्	Charles Hard Townes
गेरार्डस 'टी हूफ्ट	Gerardus 't Hooft
मारीस् एच् विल्किन्स्	Maurice Wilkins
तर्जनी	Indice (dito)
हास्टिंग्स बान्डा	Hastings Banda
दण्डकूर्दनम्	Salto con l'asta
ब्राह्मीलिपिः	Brahmi
मणिबन्धः	Polso
अर्जुनः	Arjuna
मिग्नेल् सर्वेटस्	Michele Serveto
वैश्यः	Vaiśya
अयोध्या	Ayodhya
गङ्गटोक्	Gangtok
धर्मशाला, हिमाचलप्रदेशः	Dharamsala
जुलियन श्विंगर	Julian Schwinger
विलिस इ लाम्ब	Willis Lamb
राष्ट्रियध्वजः	Bandiera nazionale
दाहोदमण्डलम्	Distretto di Dahod
कार्लो रुबिया	Carlo Rubbia
त्रिः कूर्दनम्	Salto triplo
राबर्ट १	Roberto I di Scozia
कुतुब् मिनार्	Qutb Minar
डैनी वेल्बेक	Danny Welbeck
चन्द्रगुप्तमौर्यः	Chandragupta Maurya
पुराणानि	Purāṇa
हनुमान्	Hanuman
पत्नी	Moglie
राष्ट्रियपुस्तकालयः (इजरायल्)	Biblioteca nazionale di Israele
नेविल एफ मोट्ट	Nevill Francis Mott
एल्लोरागुहाः	Ellora
पाणिनिः	Pāṇini
मेल्विन श्वार्ट्ज	Melvin Schwartz
निकोलास ब्लोम्बर्गन	Nicolaas Bloembergen
इस्कान् संस्था	Associazione internazionale per la coscienza di Krishna
हिब्रूभाषा-अकादमी	Accademia della lingua ebraica
आर्थर एल शालो	Arthur Schawlow
मेमेन्टो	Memento
जेम्स रेनवाटर	James Rainwater
विलियम डी फिलिप्स	William Phillips
मार्टिन राइल	Martin Ryle
फिलिप दबल्यु एन्डरसन	Philip Warren Anderson
फ्रान्सिस् गाल्टन्	Francis Galton
लुक्रेजिया बोर्गिया	Lucrezia Borgia
सीता	Sita
गोदावरीनदी	Godavari
प्राकृतम्	Pracrito
श्री अरविन्दः	Sri Aurobindo
अनामिका	Anulare
ऐजोल	Aizawl
छन्दः	Metrica
लीयोन एम लीडरमन	Leon Lederman
चार्ल्स बार्क्ले	Charles Barkley
भारतस्य प्रधानमन्त्री	Primi ministri dell'India
ए जे लेगेट	Anthony James Leggett
काजीराङ्गाराष्ट्रियोद्यानम्	Parco nazionale di Kaziranga
वर्नियरमापकम्	Nonio (strumento di misura)
उष्णरक्तप्राणिनः	Tachimetabolismo
जेम्स क्रोनिन	James Cronin
कृष्णा	Krishna (fiume)
केनेथ् जी विल्सन्	Kenneth Wilson
हीनयानम्	Hīnayāna
सत्याग्रहः	Satyagraha
ऋतम्	Ṛta
मण्डी	Mandi (città)
मौलाना अबुल कलाम आजाद	Abul Kalam Azad
भरतमुनिः	Bharata Muni
राजेन्द्र प्रसाद	Rajendra Prasad
देहरादून	Dehradun
गुवाहाटी	Guwahati
विश्वपरिसरदिनम्	Giornata mondiale dell'ambiente
बार्बर मेक्लिन्टाक्	Barbara McClintock
उपमालङ्कारः	Similitudine (figura retorica)
विशाखपट्टणमण्डलम्	Visakhapatnam
विजयवाडा	Vijayawada
जोधपुरम्	Jodhpur
अजमेर	Ajmer
जोनास् एड्वर्ड् साक्	Jonas Salk
उज्जैन	Ujjain
लुधियाना	Ludhiana
मेरठ	Meerut
मथुरा	Mathura
उदयपुरम्	Udaipur (Rajasthan)
औरङ्गाबाद् (महाराष्ट्रम्)	Aurangabad (Maharashtra)
बीकानेर	Bikaner
जबलपुरम्	Jabalpur
कास्सोवारिस्	Casuarius
रिचार्ड इ टेलर	Richard Edward Taylor
विज्ञानेतिहासः	Storia della scienza
अलिगढ, उत्तरप्रदेशः	Aligarh
अमृतसरमण्डलम्	Distretto di Amritsar
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	Gaspard Gustave de Coriolis
सामाजिकमाध्यमानि	Social media
ब्रह्मगुप्तः	Brahmagupta
प्लासीयुद्धम्	Battaglia di Plassey
गुरुग्रन्थसाहिब	Guru Granth Sahib
पोर्ट्ब्लेरः	Port Blair
रिचर्ड क्रामवेल	Richard Cromwell
जेर्टि थेरेसा कोरि	Gerty Theresa Cori
सिरोहीमण्डलम्	Distretto di Sirohi
सन्धिः	Sandhi
गाझियाबाद्, उत्तरप्रदेशः	Ghaziabad
उडुपचालनक्रीडा	Rafting
कटकम्	Cuttack
ठाणे	Thane
शिलाङ्ग	Shillong
ट्रिचिमलैदुर्गम्	Tiruchirappalli
जगन्नाथपुरी	Puri
इन्द्रियनिग्रहः	Castità
महाबलिपुरम्	Mamallapuram
इम्फाल	Imphal
मु अम्मर् गडाफ़ि	Saif al-Islam Gheddafi
पटियाला	Patiala
फेडेरिको माकेडा	Federico Macheda
भारतचीनयुद्धम्	Guerra sino-indiana
दूर्वा	Cynodon dactylon
जलियान्वालाबाग हत्याकाण्डः	Massacro di Amritsar
सूत्रम्	Sutra
चन्दनम्	Santalum album
गङ्गानद्याः डोल्फिन	Platanista gangetica
चेरापूञ्जी	Cherrapunjee
मियाण्डर्	Meandro (fiume)
काञ्चिपुरम्	Kanchipuram
हरिप्रसाद चौरासिया	Hariprasad Chaurasia
बरेली	Bareilly
वारङ्गल् दुर्गम्	Warangal
तबला (वाद्यम्)	Tabla
भारतीयसर्वोच्चन्यायालयः	Corte suprema dell'India
प्रकृतिचिकित्सा	Naturopatia
पणजी	Panaji
वितस्ता	Jhelum
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	Arthur Eddington
नारिकेलतैलम्	Olio di cocco
कावेरीनदी	Kaveri
नालन्दाविश्वविद्यालयः	Nālandā
चम्पा	Champa
चन्द्रभागा	Chenab
हर्षवर्धनः	Harsha
रागः	Raga
मोरारजी देसाई	Morarji Desai
नडियाद	Nadiad
नारङ्गफलरसः	Succo d'arancia
दलितजनः	Paria
आर् लेनेक् मानारल्	René Laennec
नाविकनीलः	Blu oltremare
डैरेन गिब्सन	Darron Gibson
कन्याकुमारी	Kanyakumari
जेम्स ३	Giacomo III di Scozia
श्वेतपत्रम्	Libro bianco
एलिजाबेथ	Elizabeth
कनिष्ठिका	Mignolo
हिप्पोक्रेटस	Ippocrate (disambigua)
मधुरै	Madurai
कलियुगम्	Kali Yuga
भारतस्य राष्ट्रियपञ्चाङ्गम्	Calendario nazionale indiano
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	Indian Space Research Organisation
कस्तूरिमृगः	Moschidae
लोकसभा	Lok Sabha
अण्णा हजारे	Anna Hazare
पतञ्जलिः	Patañjali (filosofo)
भीमराव रामजी अम्बेडकर	B. R. Ambedkar
बोअ क्वोन्	BoA
माधुरी दीक्षित	Madhuri Dixit
कोशातकी	Luffa
अटल बिहारी वाजपेयी	Atal Bihari Vajpayee
अक्षय कुमार	Akshay Kumar
पञ्चतन्त्रम्	Pañcatantra
नर्मदानदी	Narmada
मगधदेश:	Regno Magadha
कोहिमा	Kohima
शिग्रुः	Moringa oleifera
श्रीविजयराजवंशः	Srivijaya
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	Partito Comunista d'India (marxista)
एलिजबेत् ब्ल्याक्वेल्	Elizabeth Blackwell
आल्लाह्	Allah
भक्तिवेदान्तस्वामी प्रभुपादः	A.C. Bhaktivedanta Swami Prabhupada
शुष्कफलानि	Frutta secca
जेम्स १ (स्काटलैंड)	Giacomo I di Scozia
के आर् नारायणन्	Kocheril Raman Narayanan
रुत् प्रवर् जब्वाला	Ruth Prawer Jhabvala
केवलादेव्-राष्ट्रियोद्यानम्	Parco nazionale di Keoladeo
छत्रपतिशिवाजीटर्मिनस्	Stazione ferroviaria Chhatrapati Shivaji
गोकुरासस्यम्	Tribulus terrestris
अथर्ववेदः	Atharvaveda
पाण्डवाः	Pandava
सामवेदः	Sāmaveda
सुरेन्द्रनगरमण्डलम्	Distretto di Surendranagar
सोलापुरम्	Solapur
कल्पना चावला	Kalpana Chawla
दाण्डीयात्रा	Marcia del sale
डेविड २	Davide II di Scozia
छत्रपति शिवाजी	Shivaji
ॐ मणि पद्मे हूँ	Oṃ Maṇi Padme Hūṃ
मिन्दौगः	Mindaugas
सहारनपुरम्	Saharanpur
जैसलमेर	Jaisalmer
भावनगरम्	Bhavnagar
झान्सी	Jhansi
गोरखपुरम्	Gorakhpur
लाल बहादूर शास्त्री	Lal Bahadur Shastri
राज्यसभा	Rajya Sabha
महर्षि महेश योगी	Maharishi Mahesh Yogi
ऐन्डर्स लिनडेगार्ड	Anders Lindegaard
विचिटा	Wichita (disambigua)
गया	Gaya (India)
हेन्री केन्डाल	Henry Kendall
कोडैक्यानल्	Kodaikanal
यष्टी	Glycyrrhiza glabra
अमरेलीमण्डलम्	Distretto di Amreli
कस्तूरबा	Kasturba Gandhi
आरण्यकम्	Āraṇyaka
अस्थि	Osso
पीठम्	Plinto
जार्ज ५	Giorgio V del Regno Unito
बेळगावी	Belgaum
इन्दोनेशिया राष्ट्रपति सूची	Presidenti dell'Indonesia
कवरत्ती	Kavaratti
विन्ध्यः	Monti Vindhya
दिसपुर	Dispur
बाष्पस्थाली	Pentola a pressione
जेम्स २ (स्काटलैंड)	Giacomo II di Scozia
हरिद्वारम्	Haridwar
पी वी नरसिंह राव्	P. V. Narasimha Rao
ग्रन्थसम्पादनप्रविधिः	Ecdotica
आम्ब्रोस् पारे	Ambroise Paré
कारैकल्	Karaikal
यानम्, पाण्डीचेरी	Yanam
माहे	Mahe
नोयडा	Noida
वन्दे मातरम्	Vande Mataram
प्राचीनविमानशास्त्रम्	Vaimanika Shastra
श्वेताम्बरः सम्प्रदायः	Svetambara
जार्ज ६	Giorgio VI del Regno Unito
शिवमोग्गामण्डलम्	Shimoga
रा वन् (चलच्चित्रम्)	Ra.One
चम्पावतमण्डलम्	Distretto di Champawat
रमणमहर्षिः	Ramana Maharshi
कोटो (वाद्यम्)	Koto
राबर्ट ३	Roberto III di Scozia
लियाण्डर् पेस्	Leander Paes
जार्ज् वाशिङ्ग्टन् कार्वर्	George Washington Carver
डयोस्कोरिडीस्	Dioscoride
आर् वेङ्कटरामन्	Ramaswamy Venkataraman
मडिकेरी	Madikeri
पळनी	Palani
भरतः	Bharat
इडुक्की मण्डलम्	Distretto di Idukki
वलसाड	Valsad
पुरुलियामण्डलम्	Distretto di Purulia
मरीचिका (भौतविज्ञानम्)	Miraggio
जाह्न बालियोल	Giovanni di Scozia
आम्रातकम्	Spondias
बलासस्यम्	Sida (pianta)
बेन अमोस	Ben Amos
हीरोफिलस्	Erofilo
परमहंसयोगानन्‍दः	Paramahansa Yogananda
कबीरदासः	Kabir
अश्वघोषः	Aśvaghoṣa
महेशभूपतिः	Mahesh Bhupathi
बालगङगाधरतिलकः	Bal Gangadhar Tilak
वि वि गिरि	Varahagiri Venkata Giri
राबर्ट २	Roberto II di Scozia
खान् अब्दुल् गफार् खान्	Abdul Ghaffar Khan
गुरु गोविन्द सिंह	Guru Gobind Singh
तुलसीदासः	Tulsidas
गोपालकृष्ण गोखले	Gopal Krishna Gokhale
भारतस्य राष्ट्रपतिः	Presidenti dell'India
अनिलकपूरः	Anil Kapoor
जगदीश चन्द्र बसु	Jagadish Chandra Bose
बिन्दुसारः	Bindusara
गुलजारीलाल नन्दा	Gulzarilal Nanda
फखरुद्दीन अली अहमद	Fakhruddin Ali Ahmed
इरावती	Ravi
सिलवासा	Silvassa
जिरोलावो फ्राकास्टोरो	Girolamo Fracastoro
जमशेदजी टाटा	Jamshedji Tata
देवानन्दः	Dev Anand
बीजपूरफलम्	Psidium
अभिज्ञानशाकुन्तलम्	Abhijñānaśākuntalam
अभिनवगुप्तः	Abhinavagupta
अश्वत्थवृक्षः	Albero della Bodhi
कोल्लम्	Kollam
मनुस्मृतिः	Manusmṛti
भारतरत्नम्	Bharat Ratna
घृतम्	Ghi
भारतीयसंस्कृतिः	Cultura dell'India
सारनाथम्	Sarnath
राकेश शर्मा	Rakesh Sharma
होमी जहाँगीर भाभा	Homi Jehangir Bhabha
मावेन् अन्तरिक्षयानम्	MAVEN
मत्स्यावतारः	Matsya
वेदव्यासः	Vyāsa
कोटा	Kota (Rajasthan)
मोरादाबाद्	Moradabad
भारतीयवायुसेना	Bhāratīya Vāyu Senā
भीमबेट्का-शिलाश्रयाः	Bhimbetka
शङ्कर दयाल शर्मा	Shankar Dayal Sharma
लूथर् बर्ब्याङ्क्	Luther Burbank
भरतनाट्यम्	Bharatanatyam
आर के नारायणन्	R. K. Narayan
ज्ञानी जैल सिंह	Giani Zail Singh
मसानबु फ़ुकोका	Masanobu Fukuoka
जयदेव आचार्यः	Jayadeva
भर्तृहरिः	Bhartṛhari
नीलं सञ्जीव रेड्डि	Neelam Sanjiva Reddy
गीर अभयारण्यम्	Gir Forest Wildlife Sanctuary
एरण्डतैलम्	Olio di ricino
उत्तर २४ परगणामण्डलम्	Distretto dei 24 Pargana Nord
जेम्स १	Giacomo I
औरङ्गाबाद	Aurangabad
भारतीयभूसेना	Esercito dell'India
भारतीयनौसेना	Marina militare dell'India
हिन्दुस्थानवैमानिकसंस्था (HAL)	Hindustan Aeronautics
आदिवासिनः	Adivasi
जरनैल सिंह भिण्डरांवाले	Jarnail Singh Bhindranwale
माषः	Vigna mungo
अमरसिंहः	Amarasimha
गुरु अङ्गद देव	Guru Angad Dev
रामदुर्गम्	Ramdurg
रायपुर	Raipur
भारतीयदर्शनशास्त्रम्	Filosofia indiana
एरासिस्ट्राटस्	Erasistrato
दिलीप कुमार	Dilip Kumar
भगत सिंह	Bhagat Singh
राजेन्द्रकुमारः पचौरि	Rajendra Pachauri
बङ्किमचन्द्र चट्टोपाध्याय	Bankim Chandra Chatterji
मेघनाद साहा	Meghnad Saha
चक्रवर्ती राजगोपालाचारी	Chakravarthi Rajagopalachari
उशीरसस्यम्	Chrysopogon zizanioides
करौली	Karauli
धर्मेन्द्र	Dharmendra
विक्रम सेठ	Vikram Seth
अजीम प्रेमजी	Azim Premji
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	Risparmio energetico
कार्तिकेयः	Karttikeya
ध्यानचन्द	Dhyan Chand
राजसर्षपः	Brassica nigra
दुर्गा	Durga
सुश्रुतः	Susruta
अग्निः	Agni
भारतीय-प्रीमियर् लीग्	Indian Premier League
जेम्स २	Giacomo II
जाह्न	John
अहमदाबादमण्डलम्	Distretto di Ahmedabad
अहमदनगरमण्डलम्	Distretto di Ahmednagar
ऐहोळे	Aihole
अजमेरमण्डलम्	Distretto di Ajmer
अक्बरपुरम्, अम्बेडकरनगरम्	Akbarpur (Ambedkar Nagar)
खाद्यतैलम्	Olio alimentare
रामनगरमण्डलम्	Distretto di Ramanagara
कारवेल्लम्	Momordica charantia
बळ्ळारीमण्डलम्	Bellary
पाटलः	Rosa (colore)
उत्तरपूर्वदेहलीमण्डलम्	Distretto di Delhi Nord Est
कृष्णजन्माष्टमी	Janmashtami
काल्मेट् लियान् चारल्स् आल्बर्ट्	Albert Calmette
अलवरमण्डलम्	Distretto di Alwar
अमर गोपाल बोस	Amar G. Bose
अम्बाला	Ambala
अम्बेडकरनगरमण्डलम्	Distretto di Ambedkar Nagar
बीदरनगरम्	Bidar
सोलन्	Solan
महाबळेश्वरम्	Mahabaleshwar
माथेरान्	Matheran
एनी बेसन्ट्	Annie Besant
ममता ब्यानर्जी	Mamata Banerjee
विजयलक्ष्मी पण्डित	Vijaya Lakshmi Pandit
माता अमृतानन्‍दमयी	Mata Amritanandamayi
मीराबाई	Mirabai
होय्सळवंशः	Impero Hoysala
आसनम्	Āsana
भारतीयलिपयः	Famiglia di scritture Brahmi
विजय् अमृतराज्	Vijay Amritraj
धीरूभाई अम्बाणी	Dhirubhai Ambani
बाबा आमटे	Baba Amte
सर् जेम्स् सिम्सन्	James Young Simpson
एडवर्ड बालियोल	Edoardo Balliol
कूर्मावतारः	Kurma
भारतस्य संविधानम्	Costituzione dell'India
चार्वाकदर्शनम्	Chārvāka
कशेरुः	Colonna vertebrale
लुईस नानी	Luís Carlos Almeida da Cunha
मानवरहितविमानम्	Aeromobile a pilotaggio remoto
मुहम्मद इकबाल	Muhammad Iqbal
मुद्गः	Vigna radiata
औरङ्गजेबः	Aurangzeb
आणन्दमण्डलम्	Distretto di Anand
नद्यावली विस्तारः च	Fiumi più lunghi del mondo
हुमायून्	Humayun
श्रीगङ्गानगरम्	Ganganagar
शक्तिदेवी	Devi
२०१४ एशिया क्रीडाः	XVII Giochi asiatici
हृषीकेशः	Rishikesh
अ	Vocale centrale quasi aperta
मानसवन्यजन्तुधाम	Parco nazionale di Manas
ज्	Fricativa alveolare sonora
एजिकील् फ्रैएर्स्	Ezekiel Fryers
दादा साहेब फाळके	Dhundiraj Govind Phalke
मडगांव	Margao
अकोलामण्डलम्	Distretto di Akola
गदग	Gadag-Betageri
आजमगढ-नगरम्	Azamgarh
रीवामण्डलम्	Distretto di Rewa
दक्षिणदिनाजपुर-मण्डलम्	Distretto del Dinajpur Meridionale
सबाधधावनम्	Ostacoli (atletica leggera)
झालावाड	Jhalawar
दक्षिणभारतम्	India meridionale
बृहदारण्यकोपनिषत्	Bṛhadāraṇyaka Upaniṣad
कगायान	Cagayan (fiume)
हुगलिमण्डलम्	Distretto di Hooghly
पश्चिमदेहलीमण्डलम्	Distretto di Delhi Ovest
नाट्यशास्त्रम् (ग्रन्थः)	Nātyaśāstra
प्राचीनगोवा	Goa Velha
बसप्प दानप्प जत्ति	Basappa Danappa Jatti
दिङ्नागः	Dignaga
भरतपुरम्	Bharatpur (India)
अनुपम खेर	Anupam Kher
झार्सुगुड मण्डलम्	Distretto di Jharsuguda
कदम्बः	Neolamarckia cadamba
वडोदरामण्डलम्	Distretto di Vadodara
उत्तरकन्नडमण्डलम्	Distretto del Kannada Settentrionale
पाटण	Patan (Gujarat)
कूर्मपुराणम्	Kūrma Purāṇa
औराद	Aurad
अलीराजपुरम्	Alirajpur
औरैया	Auraiya
अक्बरपुरम्, रमाबायीनगरम्	Akbarpur (Kanpur Dehat)
अथणी (कर्णाटकम्)	Athni
उडुपीमण्डलम्	Udupi
अम्रोहा	Amroha
बलियामण्डलम्	Distretto di Ballia
आनॆकल्	Anekal
बदरीनाथः	Badrinathpuri
अल्मोडा	Almora
अमरकण्टक	Amarkantak
अनूपपुरम्	Anuppur
अशोकनगरम्	Ashoknagar
अमरेली	Amreli
अम्बाजी (आरासुर)	Ambaji
एडवर्ड ८	Edoardo VIII del Regno Unito
